DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
049,027,023,0.7338429943558051,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99994949e+00 9.99949495e-01 9.82527273e-01 ... 2.72727273e-05
 2.32323232e-05 0.00000000e+00]"
013,062,024,0.7072424632439458,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99991313e+00 9.99913131e-01 9.95290909e-01 ... 2.42424242e-05
 1.31313131e-05 0.00000000e+00]"
057,023,019,0.7177299765036402,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995758e+00 9.99957576e-01 9.79690909e-01 ... 2.32323232e-05
 1.91919192e-05 0.00000000e+00]"
001,089,008,0.6853902151600395,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99990102e+00 9.99901020e-01 9.99541837e-01 ... 2.04081633e-06
 1.02040816e-06 0.00000000e+00]"
025,004,070,0.8400253608628123,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992525e+00 9.99925253e-01 9.91036364e-01 ... 8.08080808e-06
 4.04040404e-06 0.00000000e+00]"
031,034,034,0.7736900507941334,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993131e+00 9.99931313e-01 9.88909091e-01 ... 3.43434343e-05
 3.13131313e-05 0.00000000e+00]"
026,044,028,0.7440445869673041,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992653e+00 9.99926531e-01 9.90587755e-01 ... 2.85714286e-05
 2.65306122e-05 0.00000000e+00]"
030,022,046,0.8116490262949246,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99993061e+00 9.99930612e-01 9.89155102e-01 ... 3.06122449e-05
 2.24489796e-05 0.00000000e+00]"
007,082,010,0.6863548239945259,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99990707e+00 9.99907071e-01 9.97418182e-01 ... 1.01010101e-05
 7.07070707e-06 0.00000000e+00]"
009,075,015,0.6923120472244246,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99990909e+00 9.99909091e-01 9.96709091e-01 ... 1.51515152e-05
 9.09090909e-06 0.00000000e+00]"
052,037,009,0.6619212799542382,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995306e+00 9.99953061e-01 9.81275510e-01 ... 3.77551020e-05
 9.18367347e-06 0.00000000e+00]"
056,016,026,0.7533135207249478,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995714e+00 9.99957143e-01 9.79842857e-01 ... 2.65306122e-05
 1.63265306e-05 0.00000000e+00]"
092,004,002,0.635077820377752,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99999388e+00 9.99993878e-01 9.99369388e-01 ... 4.08163265e-06
 2.04081633e-06 0.00000000e+00]"
070,009,019,0.7231126431413438,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99997143e+00 9.99971429e-01 9.74828571e-01 ... 1.83673469e-05
 9.18367347e-06 0.00000000e+00]"
029,014,056,0.8252506670576693,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992929e+00 9.99929293e-01 9.89618182e-01 ... 2.82828283e-05
 1.41414141e-05 0.00000000e+00]"
043,038,018,0.70485313870093,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99994343e+00 9.99943434e-01 9.84654545e-01 ... 3.83838384e-05
 1.81818182e-05 0.00000000e+00]"
053,015,031,0.7718109303327505,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995354e+00 9.99953535e-01 9.81109091e-01 ... 3.03030303e-05
 1.51515152e-05 0.00000000e+00]"
002,061,035,0.7608921375894688,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99990204e+00 9.99902041e-01 9.99183673e-01 ... 4.08163265e-06
 2.04081633e-06 0.00000000e+00]"
024,045,030,0.749517220405991,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992424e+00 9.99924242e-01 9.91390909e-01 ... 3.03030303e-05
 2.42424242e-05 0.00000000e+00]"
021,032,045,0.8044753957996184,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992143e+00 9.99921429e-01 9.92378571e-01 ... 3.26530612e-05
 2.14285714e-05 0.00000000e+00]"
040,016,043,0.8072549536046457,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99994040e+00 9.99940404e-01 9.85718182e-01 ... 3.23232323e-05
 1.61616162e-05 0.00000000e+00]"
013,083,002,0.6370439208147336,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99991327e+00 9.99913265e-01 9.95243878e-01 ... 1.32653061e-05
 2.04081633e-06 0.00000000e+00]"
025,045,028,0.7432230742217056,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992551e+00 9.99925510e-01 9.90945918e-01 ... 2.85714286e-05
 2.55102041e-05 0.00000000e+00]"
003,051,045,0.7825178847483645,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99990303e+00 9.99903030e-01 9.98836364e-01 ... 6.06060606e-06
 3.03030303e-06 0.00000000e+00]"
